,rounded_lat_lng,cpso,name,location
15,"43.4178,-80.5361",8,"Maha Khalil Al-Halimi, Patricia Janine Baxter, Phillip Anthony Bright, Ihab Albair Aziz Eskander, Amisha Thulasidas Kamath, Emil Ibrahim Hanna Khalil, Waseema Rehman, Elham AB Ali Youssef",Unit 15A 450 Westheights Drive Kitchener ON N2N2B9
25,"43.425,-80.5109",13,"Morgan Jacqueline Brown, Amelio Orlando Cescon, Samantha Hillary Earl, Douglas Edward Findlay, Ruth Margaret Gingell, Martin David Kane, Shvan Korsheed, Kiersten Anna Luce, Thomas James O'Brien, Laura Meaghan Pellow, John David Pope, Meredith Leigh Pope, Stephanie Lynn Spadotto",Unit 7 421 Greenbrook Drive Kitchener ON N2M 4K1
28,"43.4256,-80.5103",13,"Tracy Ann Bausmer, Karen Ann Cameron, Steven Yat Tung Chan, Patrina Chee-Shan Cheung, Yidersal Mellese Gebeyehu, Remon Makram Zaki Ghaly, Sarah Anne Gimbel, Albert Kwesi Mensah, Rosemarie Noble, Diane Hyun Ju Park, Chase Travis Reaume, Cara Petra Weymes, Joanna Zorzitto","Practice Address Not Available suite 11, 421 Greenbrook Dr, Kitchener,ON Kitchener ON N2M4K1"
38,"43.4378,-80.5016",7,"Brian David Bell, Bridget Megan Mairi Campbell, Michael William Curtis, Martin Campbell Dyck, Angela Matthew Good, Sara Rebecca Pendergast, Michael John Sehl",St. Mary's Hospital 911 Queens Boulevard Kitchener ON N2M 1B2
39,"43.4382,-80.5018",11,"Leigh Ann Day, Kun Huh, Brian Francis Kelly, David Eugene Leveck, Caroline Michele Meyer, Irene Mitrana, Raymond Frederick Nicholson, Rupinder Singh Sahsi, Anjali Saxena, Richard Leonard Upenieks, David Kelly Waldbillig",St. Mary's General Hospital 911 Queens Boulevard Kitchener ON N2M 1B2
57,"43.4476,-80.4835",6,"Shiva Adel, Sandhya Vijay Gokhale, Manisha Hladio, Nazneen Sultana Mirza, Mirwais Abdulla Sayar, Michael Christopher Tenki",Unit 302 310 King Street East Kitchener ON N2G 2L3
72,"43.4522,-80.4993",16,"Akshaya Neil Arya, Kelsi Elizabeth Cole, Heather Lynn Dixon, Carolyn Lee Fuss, Danusha Jebanesan, Frederick Joseph Lee, Linda Li-Wen Lee, Michael Frank Lee-Poy, Sandra Oliveira Loureiro, Ryan William Charles McKee, James Duncan Milligan, Emma Grace Kathleen Scotchmer, Jessica Siu, Adriana Beatrice Stoesser, Yuchen Tang, John Yee",The Centre for Family Medicine I H B 10B Victoria Street South Kitchener ON N2G 1C5
80,"43.4558,-80.5114",6,"Charles Shen Chu, Mary Louise DeCarolis, Lorna Ruth Junker-Andersen, Andre Moolman, Sheila Lynn Russek, Robert Louis Stevens",Grand River Regional Cancer Centre P O Box 9056 835 King Street West Kitchener ON N2G 1G3
82,"43.4561,-80.5057",14,"Laura Leigh Lise Andersen, Elzbieta Inez Bednarska, Daniel Lee Brewster, Laurie Ellen Dusseault, Dalia Shaban Dawoud El-Assar, Christopher Johansen, Jennifer Joanne Kays Sommer, Rebecca Jean Lubitz, Wyatt Ross McTavish, Auzair Ahmed Tak, Carly Ann Tapp, Kristopher Varano, Xu Wang, Arthur John Winter",Andrew Street Family Health Centre 16 Andrew Street Kitchener ON N2H 5R2
83,"43.4562,-80.5122",6,"Scott Ronald John Brady, Sourab Chopra, Alexander George Shaheen Feroze, Baljit Singh Kalirai, Han Sol Kang, Colin James Yardley",835 King Street West Kitchener ON N2G 1G3
87,"43.4568,-80.5117",7,"Lorraine Rosemary Colpitts, Neil Daniel Harte, Mehwish Idrees, Gunit Kang, Nicholas David Lant, Johannes Jurgens Pienaar, Matthew John Renaud",Grand River Hospital K W Health Centre Emergency Department 835 King Street West Kitchener ON N2G 1G3
88,"43.457,-80.4726",13,"Esiahas Amdemichael, Anne Rosemary Crowe, Susan Marie Irwin, Ivan Francis Jagas, Lisa Anne McFarlane, Ana Nikolic, Erinn Leigh Owens, Sabine Ingrid Pfeifer, Melanie Anne Quartermain, Lina Clementina Raco, Shannon Blaire Stobie, Pauline Marie Timmons, Janet Mary Therese Zettel",Unit 20B 385 Frederick Street Kitchener ON N2H 2P2
89,"43.4571,-80.5125",37,"Sukhjiv Singh Bajwa, Larbi Benhabib, Christopher John Dainton, Nicholas Dean D'Aloisio, Paul Ian Denbeigh, Clark Nicholas Eeuwes, Bakri Fawzi Abdulrahman Elymani, Marin Angela Franchetto, Alaa Haddad, Osama Saleh Hasan, Eileen Christina Dayon Heo, Erin Sai Yuk Hoh, Gary William Houslander, Robert Roderick Third Hunter, Ahmed Ibrahim Jakda, Peter Keizer, Philip Andrew Kowtecky, Sonia Lalji, Pierre Georges Lenferna De La Motte, Sarah Marie Leonard, Hugh Murray MacLeod, Dhakshana Mahesan, Laura Ann McNamara, Warren Chaborek Michalski, Mohammad Ellyas Omar, Thomas Adam Ottenhof, David Brien James Ritcey, Inderpal Singh Saluja, Laurene Rebecca Sellers, Patricia Elizabeth Smith, Xiaoxing Tong, Jenifer Truong, Russell Uppal, Warren Paul Whitsitt, Robert Graham Wickett, Denise Margaret Wren, Allison Marie Yantzi",Kitchener-Waterloo Health Centre Grand River Hospital 835 King Street West Kitchener ON N2G 1G3
